id_candidato;red_social;fecha;hora;usuario;texto;url;likes;comentarios;compartidos;vistas;fb_love;fb_haha;fb_care;fb_wow;fb_sad;fb_angry;favoritos
cepeda_ivan;Facebook;2026-06-20;18:03:53;IvanCepedaCastro;"A pocas horas.
Elegimos la vida, el bien común y la dignidad.
Hoy y siempre, por la vida.🫰🏽";https://www.facebook.com/reel/2252547432167470/;244917;14815;22903;1916573;50591;4416;4465;74;83;527;0
cepeda_ivan;Facebook;2026-06-20;16:44:53;IvanCepedaCastro;"Gracias, Yef ñ, por este espacio y por tu disposición para dialogar sobre los temas que realmente nos unen. Seguimos convencidos de que Colombia puede ser un país para todos y todas, construido sobre la base de la justicia social.

#MeLaJuegoPorLaVida";https://www.facebook.com/IvanCepedaCastro/posts/pfbid036Se3tfaxj8AFNn9gCHeirwzjo348djiXJzgbxqPj9G7vN9zAPABRAzuEfX23ndpMl;43477;1453;4459;0;8765;406;515;61;3;18;0
cepeda_ivan;Facebook;2026-06-20;16:00:22;IvanCepedaCastro;"Con el corazón abierto, persisto. Elijo la vida y me mantengo implacable en la búsqueda de la verdad y la paz . No daré un paso atrás #PorLaVida. 🤍🫰🏽

#MeLaJuegoPorLaVida";https://www.facebook.com/reel/1625523708516492/;19498;1080;1868;95323;4173;226;344;4;5;8;0
cepeda_ivan;Facebook;2026-06-20;14:24:19;IvanCepedaCastro;"Somos el Festival de Cine Colombia Migrante y  #NosLaJugamosPorLaVida y tú? 🫰🏽❤️‍🔥

🎬 Somos una plataforma internacional de cine, cultura y memoria que visibiliza las experiencias de migración, exilio, desplazamiento forzado y construcción de paz de las comunidades colombianas y latinoamericanas dentro y fuera de sus territorios.

✨ A través del cine y el arte, construimos memoria colectiva y defendemos los derechos humanos.

#Cine #Memoria #DDHH #eleccionesColombia2026";https://www.facebook.com/reel/3652497174898778/;1085;65;100;5713;216;14;26;0;0;0;0
cepeda_ivan;Facebook;2026-06-20;13:30:57;IvanCepedaCastro;"El fracking es una técnica obsoleta y el mundo ya avanza hacia las energías limpias. Implementarlo en un país biodiverso como Colombia sería una sentencia de muerte para nuestros ecosistemas. 🌿

¡Mañana vota por la vida! 🗳️
#ivánpresidente";https://www.facebook.com/reel/1565898858493568/;40891;1677;5533;183063;6890;993;519;44;57;23;0
cepeda_ivan;Facebook;2026-06-20;12:07:49;IvanCepedaCastro;"𝐌𝐄 𝐋𝐀 𝐉𝐔𝐄𝐆𝐎 𝐏𝐎𝐑 𝐋𝐎𝐒 𝐌𝐎𝐓𝐄𝐑𝐎𝐒. Reconocemos a quienes promueven la cultura vial, la solidaridad y el cuidado de sus comunidades.🫰🏽

El domingo vota decente. #PorLaVida🇨🇴";https://www.facebook.com/IvanCepedaCastro/posts/pfbid02DBHVeqAxwC1gNbDcrYA5Wr9UJLtqnzRoLp3CpMn9eYqAEcvs8WhAeeoEFw4fVmCJl;1333;58;175;0;288;20;21;0;0;0;0
cepeda_ivan;Facebook;2026-06-20;11:30:28;IvanCepedaCastro;;https://www.facebook.com/IvanCepedaCastro/posts/pfbid0iyyQyKQoNNgurydLE12szdsQHxLexUqrhZ3ivxX86E9va9UuTNW9StRXNR1L3Qu1l;691;22;40;0;164;9;15;0;0;0;0
cepeda_ivan;Facebook;2026-06-20;11:20:27;IvanCepedaCastro;"La vivienda es un derecho, no un privilegio. Nuestro proyecto propone una política integral para que las familias colombianas cuenten con un techo digno. 🏠⚖️

#PorLaVida vota decente.";https://www.facebook.com/reel/1280861790793993/;2746;156;310;14148;419;41;43;2;0;3;0
cepeda_ivan;Facebook;2026-06-20;11:07:19;IvanCepedaCastro;;https://www.facebook.com/IvanCepedaCastro/posts/pfbid02G2QnTGLCdYjrL1fK4RwYkH7uTSEnapmYK8j3DyTa5yk7rxV8UhF6Lmbtwmh6vi3jl;2356;108;621;0;546;15;64;3;6;3;0
cepeda_ivan;Facebook;2026-06-20;11:00:38;IvanCepedaCastro;;https://www.facebook.com/IvanCepedaCastro/posts/pfbid031HWjpo1MmDjvhytBZyS8JR5DBbiHeukWd7BCwZVdmuCfxVtyXu5xjwsh73ceX3ijl;1060;34;105;0;288;7;28;2;0;2;0
cepeda_ivan;Facebook;2026-06-20;10:48:05;IvanCepedaCastro;;https://www.facebook.com/IvanCepedaCastro/posts/pfbid02sJTmJFHqdojs9nhECSG4ivoNRnoaPT6j6kgikm9NcEQRLMTaVvxCakrs1MdbFaaDl;727;40;53;0;170;8;26;0;0;2;0
cepeda_ivan;Facebook;2026-06-20;09:48:32;IvanCepedaCastro;Agradezco profundamente a KarenSevillano🇨🇴 por este espacio de diálogo. Compartir nuestra visión de país a través de los argumentos e intercambio de ideas es fundamental para construir una Colombia digna para todos y todas.🫰🏽🇨🇴;https://www.facebook.com/reel/1795492575159210/;28181;732;3496;148223;7803;36;428;6;0;2;0
cepeda_ivan;Facebook;2026-06-20;09:12:55;IvanCepedaCastro;;https://www.facebook.com/IvanCepedaCastro/posts/pfbid029Kx5pNjrRGPX17LUzYuTFtPA1ykMF5bb5KaMw8JZKvK9hbTeq3m5mwKpCWF5UALdl;11712;224;589;0;4318;25;320;0;0;0;0
cepeda_ivan;Facebook;2026-06-20;07:13:54;IvanCepedaCastro;"👀¿Ya se vieron el capítulo de Por la Ventana? 

🏃Los leo en los comentarios. 😉

Me la juego por ustedes y me la juego por la vida. 🫰

#MeLaJuegoPorLaVida #ivancepedapresidente #colombia🇨🇴";https://www.facebook.com/reel/1523252402669517/;87501;1766;6800;428426;22084;641;1371;4;4;7;0
cepeda_ivan;Facebook;2026-06-20;06:08:40;IvanCepedaCastro;;https://www.facebook.com/IvanCepedaCastro/posts/pfbid0rSt6yTYKb3RA7NV4tdXPXiQxcb7GsLu7pdvXENutSbN7t26rvPTkJXQSXFkBHMNQl;689;26;33;0;149;9;14;0;0;1;0
