id_candidato;Candidato;tiktok_username;tiktok_followers;tiktok_fecha_captura;twitter_username;twitter_followers;twitter_fecha_captura;facebook_username;facebook_followers;facebook_fecha_captura
COL-05001-010;Albert Yordano Corredor Bustamante;albertcorredor_;11975.0;2026-06-15 21:40;AlbertCorredor;24068;2026-06-15 21:54;albertyordanocorredor;18000.0;2026-06-15 21:11
COL-08433-007;Alcira Paola Sandoval Ibañez;alcirasandovali;1476.0;2026-06-15 21:40;alcirasandovali;623;2026-06-15 21:54;alcira.sandoval.56679;19000.0;2026-06-15 21:11
COL-08001-002;Alejandro Char Chaljub;alejandrocharch;294793.0;2026-06-15 21:40;AlejandroChar;499679;2026-06-15 21:54;AlejandroCharCh;465000.0;2026-06-15 21:11
COL-76001-002;Alvaro Alejandro Eder Garces;alejoeder;116508.0;2026-06-15 21:40;alejoeder;71217;2026-06-15 21:54;alejoederg;168000.0;2026-06-15 21:11
COL-50001-005;Alexander Baquero Sanabria;alexander.baquero2;1176.0;2026-06-15 21:40;AlexBaqueroS;5416;2026-06-15 21:54;AlexBaqueroSa;43000.0;2026-06-15 21:11
COL-44001-004;Eriberto Antonio Ibarra Campo;eribertoibarrac;385.0;2026-06-15 21:40;betoibarra2020;5;2026-06-15 21:54;eribertoibarrac;1200.0;2026-06-15 21:11
COL-25754-008;Gloria Betty Zorro Africano;betty.zorro;449.0;2026-06-15 21:40;BettyZorro;2708;2026-06-15 21:54;BettyZorroA;12000.0;2026-06-15 21:11
COL-08001-005;Antonio Eduardo Bohorquez Collazos;antonio_bohorquez;8748.0;2026-06-15 21:40;bohorquezesova;2037;2026-06-15 21:54;antonio.e.collazos;7000.0;2026-06-15 21:11
COL-20001-008;Camilo Andres Quiroz Hinojosa;camiloquirozh;3209.0;2026-06-15 21:40;camiloquirozh;4270;2026-06-15 21:54;CamiloQuirozHinojosa;1500.0;2026-06-15 21:11
COL-11001-005;Carlos Fernando Galan Pachon;carlosfgalan;273442.0;2026-06-15 21:40;CarlosFGalan;645559;2026-06-15 21:54;carlosfgalan;199000.0;2026-06-15 21:11
COL-68001-008;Carlos Felipe Parra Rojas;carlosparrabga;78021.0;2026-06-15 21:40;CarlosParraBUC;14371;2026-06-15 21:54;CarlosParraBUC;216000.0;2026-06-15 21:11
COL-47001-002;Carlos Alberto Pinedo Cuello;carlosapinedocuello;2967.0;2026-06-15 21:40;CarlosPinedoC;13088;2026-06-15 21:54;CarlosAlbertoPinedoCuello;13000.0;2026-06-15 21:11
COL-20001-005;Christian Jose Moreno Villamizar;christianjmoreno;2273.0;2026-06-15 21:40;CJoseMoreno;29196;2026-06-15 21:54;cristianjosemorenovillamizar;10000.0;2026-06-15 21:11
COL-68081-003;Claudia Patricia Andrade Gonzalez;claudiaandradegonzalez;1076.0;2026-06-15 21:40;Claudia1Andrade;218;2026-06-15 21:54;Claudia.Andrade.2022;7000.0;2026-06-15 21:11
COL-68001-003;Consuelo Ordoñez de Rincon;consueloberraca;1165.0;2026-06-15 21:40;consuelordonez;6077;2026-06-15 21:54;ConsueloBerraca;1500.0;2026-06-15 21:11
COL-76001-009;Danis Antonio Renteria Chala;danis_renteria;940.0;2026-06-15 21:40;DanisRenteria;4029;2026-06-15 21:54;DanisRenteriaChala;14000.0;2026-06-15 21:11
COL-25754-009;Dany Rene Caicedo Vasquez;dannycaiced0;9159.0;2026-06-15 21:40;dannycaiced;872;2026-06-15 21:54;dannycaicedosoacha;19000.0;2026-06-15 21:11
COL-76001-010;Deninson Mendoza Ramos;deninsonmendoza;24805.0;2026-06-15 21:40;deninsonmendoza;5960;2026-06-15 21:54;deninsonmendoza;4500.0;2026-06-15 21:11
COL-11001-002;Diego Andres Molano Aponte;diegomolanoa;19727.0;2026-06-15 21:40;Diego_Molano;165958;2026-06-15 21:54;DiegoMolanoAponte;47000.0;2026-06-15 21:11
COL-05151-003;Diego Leon Torres Sanchez;diegotorresitagui;4085.0;2026-06-15 21:40;DiegoTItagui;1309;2026-06-15 21:54;diegoTItagui;8400.0;2026-06-15 21:11
